<Trace>
301
CsPbBr3-1-C8
X	Y
400	2291.3645
401	2401.49878
402	2251.31738
403	2451.562
404	2401.49878
405	2271.34082
406	2741.95386
407	2621.78638
408	2782.01123
409	3312.85181
410	2852.114
411	2691.883
412	2491.61353
413	2591.74561
414	2882.15869
415	3332.88647
416	2892.17383
417	3192.64868
418	3903.96
419	3853.859
420	4164.506
421	4745.851
422	5868.94629
423	7544.781
424	9433.098
425	11504.3428
426	13346.2041
427	15230.15
428	17731.4941
429	20963.8516
430	21610.9746
431	20731.3438
432	21793.0176
433	21014.4
434	21004.291
435	19842.0117
436	20488.7578
437	20670.6953
438	22804.6816
439	24900.5156
440	26400.3887
441	29627.05
442	34090.3828
443	41474.0273
444	48824.5859
445	59511.39
446	74432.03
447	91649.625
448	116572.875
449	143762.125
450	176321.75
451	222386.891
452	266834.9
453	320893.9
454	385415.938
455	439782.469
456	500602.625
457	552422.6
458	597201.25
459	628170.3
460	651883.25
461	664980.438
462	664217.5
463	666139.563
464	659308.1
465	659801.3
466	668445.7
467	677598.4
468	696983.6
469	722599.5
470	746540.4
471	777198.8
472	807912.5
473	826004.2
474	850280.2
475	871323.7
476	879095.063
477	887913.25
478	905383.563
479	915578.6
480	930105.4
481	944840.7
482	964802.7
483	990338.9
484	1020821.13
485	1040681.25
486	1065424.13
487	1078082.5
488	1094672.63
489	1110266.75
490	1133203.5
491	1159832.13
492	1187446.5
493	1216837
494	1258941.88
495	1299609.5
496	1335920.63
497	1369197.38
498	1419475
499	1449625.88
500	1499308.88
501	1546171.25
502	1578324.5
503	1629416.38
504	1666712.38
505	1683054.13
506	1710700.13
507	1709848.5
508	1705085.63
509	1684638.38
510	1645513.5
511	1589216.25
512	1522696.63
513	1434196.13
514	1346203.88
515	1239335.63
516	1145918.25
517	1049756.5
518	945576.3
519	859389
520	783440.7
521	699557.25
522	628156.438
523	565125.8
524	509379.656
525	459961.438
526	408563.281
527	369778.125
528	331427.063
529	300361.438
530	273325.3
531	242190
532	221410.484
533	197824.922
534	178580.875
535	162147.75
536	147159.641
537	132008.938
538	117943.984
539	106949.563
540	98489.54
541	87982.28
542	80386.97
543	72156.9453
544	66082.5
545	60450.2227
546	54247.9961
547	48875.87
548	45667.98
549	41361.6328
550	38849.79
551	35190.01
552	31893.0059
553	28723.4453
554	26907.3672
555	25437.498
556	22926.1172
557	21509.8477
558	18922.7949
559	18327.0527
560	17691.125
561	15199.9121
562	14393.7324
563	13124.6855
564	12248.9268
565	11625.0664
566	10870.667
567	10719.8223
568	9674.293
569	9684.344
570	8137.19141
571	8378.225
572	7916.271
573	7635.13672
574	7243.625
575	6440.774
576	6521.044
577	6621.386
578	6159.855
579	5848.88525
580	5929.131
581	5257.179
582	4996.48535
583	4866.15137
584	5106.77441
585	4755.876
586	4415.06445
587	4515.297
588	4755.876
589	4725.802
590	4735.82666
591	4485.22656
592	4455.15674
593	3823.799
594	3903.96
595	3843.83887
596	3803.75928
597	3793.7395
598	3613.39258
599	3563.29932
600	3623.41138
601	3423.04468
602	3613.39258
603	3623.41138
604	3853.859
605	3052.42114
606	3342.90381
607	3242.73242
608	3413.02686
609	3523.22534
610	3513.207
611	3643.44922
612	3533.244
613	3382.97388
614	3392.99146
615	3132.55
616	3192.64868
617	3403.009
618	3493.17065
619	3553.28076
620	3733.622
621	2962.28027
622	3182.632
623	3212.68213
624	3112.51758
625	3493.17065
626	2882.15869
627	3152.58276
628	3282.80029
629	3022.37378
630	3082.469
631	3062.437
632	3282.80029
633	3252.74927
634	3132.55
635	3403.009
636	3282.80029
637	3292.81738
638	3403.009
639	2892.17383
640	3322.86914
641	3142.56641
642	3202.66528
643	3433.0625
644	3423.04468
645	3613.39258
646	3242.73242
647	3272.7832
648	3012.35815
649	3002.34253
650	3272.7832
651	3352.92114
652	2842.099
653	3443.08032
654	3433.0625
655	3202.66528
656	3252.74927
657	3322.86914
658	3352.92114
659	3092.485
660	3222.69873
661	3122.53369
662	3332.88647
663	3382.97388
664	3242.73242
665	3473.13452
666	3533.244
667	3132.55
668	3453.09839
669	2982.31128
670	3493.17065
671	3222.69873
672	3403.009
673	2852.114
674	3212.68213
675	3433.0625
676	3232.71558
677	3683.52563
678	3342.90381
679	3212.68213
680	3192.64868
681	3332.88647
682	3022.37378
683	3563.29932
684	3493.17065
685	3443.08032
686	3272.7832
687	3463.11646
688	3453.09839
689	3322.86914
690	3473.13452
691	3503.189
692	3372.9563
693	3182.632
694	3272.7832
695	3453.09839
696	3763.68066
697	3813.7793
698	3563.29932
699	3573.31787
700	3793.7395
</Trace>
