<Trace>
301
CsPbBr3-0.5-C8
X	Y
400	1400.50989
401	1480.56982
402	1270.41956
403	1510.59314
404	1530.609
405	1560.633
406	1710.76074
407	2051.09351
408	2391.48633
409	2451.562
410	2221.28247
411	1830.87122
412	1710.76074
413	1540.617
414	1490.57751
415	1620.68274
416	1490.57751
417	1650.70825
418	1560.633
419	1560.633
420	1690.743
421	1580.64941
422	1460.55444
423	1720.76965
424	2041.08276
425	1870.90979
426	2031.07214
427	2271.34082
428	1950.98926
429	2191.248
430	2261.329
431	2371.46167
432	2631.8
433	2832.08447
434	3312.85181
435	3062.437
436	4024.20752
437	4114.39844
438	4866.15137
439	5838.855
440	6551.146
441	8548.974
442	10196.9863
443	12218.7354
444	16339.2158
445	19700.5664
446	25893.543
447	31608.3457
448	39543.793
449	51205.7148
450	63228.13
451	76668.17
452	92237.05
453	107689.734
454	126917.453
455	144042.328
456	160712.156
457	177736.141
458	189949.641
459	204586.609
460	212879.609
461	217487.4
462	224071.516
463	228582.344
464	231366.109
465	232708.719
466	246334.344
467	256500.172
468	268202.5
469	280150
470	297359.344
471	308292.219
472	322276.875
473	337329.031
474	349463.344
475	360781.8
476	374365
477	384621.844
478	394454.844
479	404128.6
480	407907.938
481	427503.656
482	441140.469
483	453912.1
484	473242.75
485	487995.031
486	500978.9
487	513515.469
488	527160
489	542651.6
490	559111.438
491	573731.3
492	591303.438
493	610864.063
494	635114.438
495	654608
496	686880.6
497	708931.9
498	738610.1
499	760835.4
500	791920.6
501	818153.25
502	845509.063
503	874614.4
504	899835.2
505	915723.563
506	934977.5
507	949291.563
508	948079.7
509	939862
510	925132.25
511	898207.25
512	865590.2
513	821415.438
514	773173.4
515	715855.1
516	665150
517	602063.8
518	553462.438
519	497815.375
520	447137.1
521	404856.719
522	363691.3
523	326396.2
524	290950.3
525	260641.141
526	238145.125
527	210167.078
528	190291.844
529	171844.234
530	154709.531
531	138499.766
532	124835.547
533	110007.266
534	101523.273
535	91041.4141
536	82254.29
537	73434.4
538	65927.26
539	59944.64
540	54566.89
541	48824.5859
542	45401.75
543	39992.9844
544	37615.4922
545	33785.043
546	30378.6855
547	28956.92
548	25508.4316
549	22835.04
550	21590.75
551	19488.4141
552	17337.9219
553	16359.3867
554	15280.5479
555	13698.6738
556	12953.5283
557	11866.5371
558	10287.4678
559	9995.934
560	8810.15
561	8830.242
562	7574.899
563	7524.702
564	6791.98
565	6460.841
566	6169.887
567	5568.053
568	5628.228
569	4866.15137
570	4384.99561
571	4725.802
572	4425.0874
573	4405.0415
574	4064.29175
575	3863.87915
576	3072.45313
577	3382.97388
578	3563.29932
579	3072.45313
580	3212.68213
581	2771.99683
582	2812.055
583	2962.28027
584	2661.84131
585	2641.81372
586	2331.4126
587	2591.74561
588	2491.61353
589	2231.294
590	2411.51147
591	2611.77271
592	2711.91138
593	2231.294
594	2411.51147
595	2291.3645
596	2101.14746
597	2031.07214
598	2071.115
599	2291.3645
600	2041.08276
601	2181.23657
602	2201.25928
603	2151.20264
604	2141.19165
605	2121.16943
606	1981.02
607	1880.91956
608	1870.90979
609	1960.99951
610	1700.75183
611	1810.85229
612	1830.87122
613	1460.55444
614	1860.9
615	1910.9491
616	1740.7876
617	2021.06165
618	1950.98926
619	1700.75183
620	1810.85229
621	1850.89038
622	1730.77856
623	1590.65771
624	2251.31738
625	1720.76965
626	2021.06165
627	1960.99951
628	1830.87122
629	1971.00977
630	1850.89038
631	1730.77856
632	1810.85229
633	1700.75183
634	1850.89038
635	1610.67432
636	1790.83362
637	1850.89038
638	1740.7876
639	2041.08276
640	1640.69971
641	1640.69971
642	2061.104
643	1850.89038
644	1870.90979
645	1680.73425
646	1890.92932
647	1750.79675
648	1981.02
649	1710.76074
650	1620.68274
651	1780.82434
652	1810.85229
653	2011.05115
654	1700.75183
655	1800.8429
656	1950.98926
657	1690.743
658	1810.85229
659	1580.64941
660	1760.80591
661	1720.76965
662	1790.83362
663	1981.02
664	1630.69116
665	1650.70825
666	1940.97925
667	1920.95911
668	1820.86182
669	1930.96912
670	1850.89038
671	1710.76074
672	1690.743
673	1720.76965
674	1820.86182
675	1981.02
676	1650.70825
677	1780.82434
678	1630.69116
679	1940.97925
680	1950.98926
681	1760.80591
682	1670.72559
683	1900.93921
684	1991.0304
685	1940.97925
686	1820.86182
687	2031.07214
688	1840.88086
689	1670.72559
690	1960.99951
691	1870.90979
692	2021.06165
693	2021.06165
694	1920.95911
695	1720.76965
696	1991.0304
697	1950.98926
698	1940.97925
699	1790.83362
700	1820.86182
</Trace>
