<Trace>
301
CsPbBr3-C12-1-super-enhanced
X	Y
400	1830.87122
401	1830.87122
402	1860.9
403	1890.92932
404	1760.80591
405	1800.8429
406	2211.27075
407	2341.4248
408	2671.85522
409	2882.15869
410	2751.968
411	2371.46167
412	2211.27075
413	2271.34082
414	2331.4126
415	2321.40063
416	2211.27075
417	2211.27075
418	2271.34082
419	2321.40063
420	2231.294
421	2802.04028
422	3012.35815
423	3713.58325
424	4004.16577
425	4445.1333
426	4976.433
427	5758.61328
428	6872.26465
429	7293.81445
430	7765.658
431	7986.561
432	8177.36133
433	9342.657
434	9644.143
435	10790.2148
436	12349.5684
437	13819.5361
438	15300.708
439	16934.3418
440	20013.7832
441	23533.4082
442	27992.75
443	35179.83
444	40472.92
445	51729.55
446	64241.1523
447	83977.1641
448	105195.43
449	133294.625
450	165152.9
451	211896.859
452	257551.734
453	319228.563
454	379011.563
455	443972.7
456	500252.375
457	559807
458	602898.25
459	634877.9
460	656844.063
461	662847.8
462	662734.938
463	665263.063
464	664132.75
465	661309.9
466	670797.1
467	685294.75
468	703042.2
469	729908.4
470	753171.5
471	781668.1
472	812438.563
473	840145.938
474	851027.25
475	867755.9
476	874535.6
477	890612.7
478	897473.563
479	904359.063
480	905175.438
481	924533.75
482	936913.563
483	952357.563
484	961700.4
485	973675.3
486	976481.3
487	977927.438
488	978576.063
489	974123.3
490	970310.2
491	974272.7
492	966752.5
493	962112.6
494	945314.75
495	940367.438
496	924485.25
497	911381.7
498	893188.6
499	872456.7
500	853176.563
501	821507.438
502	801014.4
503	774459.4
504	740696.2
505	707342.2
506	670272.75
507	634613.6
508	598211
509	561439.938
510	525385.063
511	498165.2
512	463215.938
513	424433.719
514	392393.469
515	366847.281
516	337770
517	309161.1
518	279756.75
519	254878.25
520	234007.078
521	209754.391
522	189739.922
523	171723.953
524	155771.922
525	140359.859
526	127558.5
527	116424.133
528	105301.055
529	91974.78
530	83152.08
531	77709.125
532	69293.5547
533	63558.85
534	57985.48
535	53157.9766
536	48363.07
537	44030.2266
538	40238.0469
539	36779.4766
540	33713.8
541	32198.0469
542	28429.1035
543	25984.7656
544	23796.627
545	22561.834
546	20569.6172
547	18266.4785
548	16944.4316
549	15230.15
550	14182.166
551	12812.5879
552	11856.4746
553	11977.2207
554	11242.8
555	9815.004
556	9624.042
557	8619.287
558	8508.796
559	8167.319
560	7966.478
561	7494.585
562	6551.146
563	6220.04834
564	5868.94629
565	5517.90869
566	5146.88135
567	5016.5376
568	4765.901
569	4715.77734
570	4535.34375
571	4425.0874
572	4264.72559
573	4104.377
574	4274.74756
575	3513.207
576	3593.355
577	3823.799
578	3413.02686
579	3523.22534
580	3202.66528
581	3272.7832
582	3092.485
583	3032.38965
584	3052.42114
585	2972.296
586	2671.85522
587	3002.34253
588	3002.34253
589	2792.026
590	2902.18872
591	2681.86914
592	2531.66577
593	2571.71875
594	2481.60059
595	2461.57471
596	2551.69214
597	2471.58765
598	2661.84131
599	2661.84131
600	2431.53662
601	2822.06958
602	2541.679
603	2461.57471
604	2501.62646
605	2521.65259
606	2261.329
607	2101.14746
608	2181.23657
609	2541.679
610	2311.38843
611	2431.53662
612	2211.27075
613	2231.294
614	2121.16943
615	2071.115
616	2131.18042
617	2151.20264
618	2221.28247
619	1981.02
620	2201.25928
621	2181.23657
622	2301.37646
623	2251.31738
624	2151.20264
625	2661.84131
626	2211.27075
627	2151.20264
628	1981.02
629	2191.248
630	2401.49878
631	2031.07214
632	2101.14746
633	2371.46167
634	2231.294
635	2331.4126
636	2171.22534
637	2251.31738
638	2201.25928
639	2211.27075
640	2141.19165
641	1991.0304
642	2301.37646
643	2151.20264
644	1910.9491
645	2071.115
646	2191.248
647	2221.28247
648	2051.09351
649	1981.02
650	2271.34082
651	2141.19165
652	2221.28247
653	2141.19165
654	2091.13647
655	1971.00977
656	1950.98926
657	2171.22534
658	2061.104
659	1870.90979
660	2201.25928
661	1981.02
662	2281.35254
663	2301.37646
664	2411.51147
665	2291.3645
666	2121.16943
667	2261.329
668	1730.77856
669	2071.115
670	1920.95911
671	1930.96912
672	2421.524
673	2031.07214
674	2151.20264
675	2041.08276
676	2231.294
677	2461.57471
678	2141.19165
679	2221.28247
680	2161.21387
681	2241.30566
682	2251.31738
683	2121.16943
684	2311.38843
685	2391.48633
686	2231.294
687	2341.4248
688	2241.30566
689	2521.65259
690	2381.47388
691	2261.329
692	2321.40063
693	2281.35254
694	2361.44922
695	2842.099
696	2421.524
697	2251.31738
698	2101.14746
699	2251.31738
700	2261.329
</Trace>
