<Trace>
301
C8-2-supernatant
X	Y
400	460.055023
401	510.067627
402	560.081543
403	680.120239
404	610.096741
405	720.1348
406	780.1582
407	750.1463
408	650.109863
409	800.166443
410	790.1623
411	730.1386
412	710.1311
413	980.2498
414	960.2397
415	1240.3999
416	1590.65771
417	1680.73425
418	2031.07214
419	2591.74561
420	3242.73242
421	4405.0415
422	5588.11133
423	7524.702
424	10669.5439
425	14675.8564
426	18387.627
427	24181.3965
428	31272.9063
429	36646.9727
430	40360.5859
431	41944.1133
432	43447.1133
433	42393.8672
434	40166.5664
435	37921.4453
436	36585.82
437	34528.12
438	32696.3848
439	33133.81
440	33235.55
441	34029.31
442	37054.71
443	38757.957
444	42496.0977
445	48024.6953
446	54638.9063
447	63962
448	76741.02
449	94409.9844
450	113600.195
451	143546.609
452	177714.2
453	224408.609
454	278011.1
455	343870.844
456	419439.9
457	495834.344
458	583309.75
459	649218.438
460	714549.7
461	749461.75
462	765043.438
463	760167.063
464	740960.75
465	708454.8
466	678907.438
467	649596.9
468	629834.6
469	602665.7
470	585830.5
471	574715.3
472	570661.2
473	558790.438
474	550198.2
475	540756.4
476	522745.438
477	511139.875
478	487853.25
479	466119.1
480	448815.969
481	422937.938
482	402118.469
483	386919.469
484	369741.75
485	359973.719
486	343607.781
487	329906.938
488	321023.875
489	307412
490	300490.063
491	289996.625
492	283310.75
493	279814.563
494	275355.2
495	270595.281
496	269225.969
497	267328.969
498	266088.3
499	262703.531
500	264928.781
501	263769.938
502	261190.891
503	258649.625
504	258089.156
505	253086.578
506	251946.266
507	243960.188
508	240296.8
509	235396.75
510	228357.109
511	215316.344
512	207480.641
513	196129.891
514	182579.25
515	169571.156
516	156574.531
517	144850.828
518	130617.07
519	118262.984
520	106822.7
521	96606.4
522	85116.15
523	79250.77
524	71274.65
525	63662.2148
526	55606.2422
527	51554.92
528	44910.3438
529	40340.1641
530	37340.18
531	31740.5039
532	29718.45
533	25903.68
534	23017.1973
535	20994.18
536	19791.4941
537	17660.8477
538	15482.1543
539	14595.2461
540	12601.1953
541	11454.043
542	11333.33
543	9885.364
544	8569.063
545	8398.312
546	7233.5874
547	6701.66357
548	6340.441
549	6019.41064
550	5808.764
551	4575.43848
552	4785.95068
553	4324.85938
554	4194.57129
555	3763.68066
556	3352.92114
557	3392.99146
558	2992.327
559	2681.86914
560	2471.58765
561	2661.84131
562	2511.6394
563	2251.31738
564	2221.28247
565	1780.82434
566	1910.9491
567	1860.9
568	1810.85229
569	1590.65771
570	1550.625
571	1460.55444
572	1690.743
573	1130.33215
574	1600.666
575	1450.54688
576	1310.44641
577	980.2498
578	1250.40637
579	1050.28674
580	1080.30334
581	970.2447
582	1000.26007
583	970.2447
584	970.2447
585	780.1582
586	970.2447
587	1010.26532
588	840.183533
589	760.1502
590	830.179138
591	810.170654
592	750.1463
593	680.120239
594	890.206
595	710.1311
596	710.1311
597	900.2107
598	690.12384
599	820.174866
600	750.1463
601	630.1032
602	640.1065
603	660.1133
604	670.11676
605	590.0905
606	610.096741
607	790.1623
608	660.1133
609	690.12384
610	640.1065
611	600.0936
612	640.1065
613	640.1065
614	640.1065
615	580.087463
616	520.0703
617	460.055023
618	570.0845
619	430.0481
620	560.081543
621	470.057434
622	420.045868
623	430.0481
624	550.0787
625	550.0787
626	560.081543
627	390.039551
628	550.0787
629	480.0599
630	340.03006
631	480.0599
632	550.0787
633	340.03006
634	450.052673
635	430.0481
636	380.037537
637	380.037537
638	610.096741
639	410.0437
640	390.039551
641	440.050354
642	300.0234
643	400.0416
644	360.0337
645	400.0416
646	370.035583
647	400.0416
648	370.035583
649	380.037537
650	540.0758
651	480.0599
652	360.0337
653	450.052673
654	450.052673
655	260.017578
656	310.025
657	400.0416
658	360.0337
659	280.0204
660	350.03186
661	450.052673
662	330.02832
663	390.039551
664	310.025
665	360.0337
666	410.0437
667	310.025
668	330.02832
669	430.0481
670	300.0234
671	210.011459
672	330.02832
673	230.013748
674	350.03186
675	330.02832
676	250.016251
677	310.025
678	290.021881
679	320.026642
680	280.0204
681	420.045868
682	320.026642
683	370.035583
684	300.0234
685	350.03186
686	350.03186
687	270.018951
688	420.045868
689	280.0204
690	340.03006
691	340.03006
692	230.013748
693	280.0204
694	370.035583
695	280.0204
696	320.026642
697	190.009384
698	260.017578
699	290.021881
700	330.02832
</Trace>
