<Trace>
301
CsPbBr3-anion-4
X	Y
400	360.0337
401	270.018951
402	400.0416
403	270.018951
404	220.012589
405	300.0234
406	320.026642
407	400.0416
408	330.02832
409	360.0337
410	300.0234
411	370.035583
412	370.035583
413	420.045868
414	390.039551
415	340.03006
416	410.0437
417	460.055023
418	400.0416
419	410.0437
420	440.050354
421	520.0703
422	450.052673
423	520.0703
424	480.0599
425	590.0905
426	640.1065
427	480.0599
428	500.065
429	510.067627
430	500.065
431	430.0481
432	430.0481
433	400.0416
434	460.055023
435	540.0758
436	340.03006
437	420.045868
438	530.073059
439	460.055023
440	360.0337
441	490.062439
442	450.052673
443	530.073059
444	460.055023
445	450.052673
446	450.052673
447	470.057434
448	520.0703
449	570.0845
450	620.1
451	650.109863
452	630.1032
453	850.1879
454	650.109863
455	650.109863
456	830.179138
457	870.196838
458	950.234741
459	1020.27063
460	1040.28137
461	1130.33215
462	1240.3999
463	1450.54688
464	1270.41956
465	1260.413
466	1600.666
467	1640.69971
468	1890.92932
469	2181.23657
470	2751.968
471	2902.18872
472	3913.98022
473	3954.06226
474	5758.61328
475	6631.42041
476	8609.242
477	9352.706
478	10307.5742
479	12792.4541
480	14917.7109
481	17499.3789
482	20407.9043
483	22956.4766
484	26562.6074
485	30520.92
486	33113.46
487	39298.82
488	41923.67
489	46682.04
490	50497.2266
491	55029.9
492	60460.543
493	64716.8359
494	68764.9141
495	74535.98
496	80762.375
497	86527.7656
498	95397.53
499	102841.484
500	111002.867
501	120550.711
502	128638.07
503	138822.188
504	144926.313
505	160451.25
506	165839.516
507	173977.688
508	176431.359
509	183734.172
510	184944.828
511	184636.6
512	177703.234
513	173463.266
514	160831.75
515	151006.6
516	141177.578
517	127387.531
518	115797.414
519	104192.273
520	93580.41
521	84760.8
522	74224.15
523	67614.85
524	60770.15
525	54073.14
526	47911.918
527	41586.43
528	38217.2422
529	34090.3828
530	31171.27
531	26461.2188
532	24799.2148
533	20913.3047
534	18660.24
535	17973.7324
536	16187.9424
537	14182.166
538	12883.0566
539	11303.1533
540	10146.7217
541	9312.512
542	8378.225
543	7344.005
544	6450.807
545	6109.69531
546	5668.3457
547	4675.67969
548	4154.48438
549	4094.35547
550	3533.244
551	3443.08032
552	3092.485
553	2681.86914
554	2351.437
555	2491.61353
556	2231.294
557	1890.92932
558	1580.64941
559	1630.69116
560	1440.53943
561	1410.51721
562	1490.57751
563	1280.42615
564	1100.3147
565	1200.37451
566	970.2447
567	910.2154
568	790.1623
569	800.166443
570	750.1463
571	720.1348
572	710.1311
573	610.096741
574	640.1065
575	710.1311
576	550.0787
577	480.0599
578	560.081543
579	490.062439
580	640.1065
581	570.0845
582	480.0599
583	460.055023
584	450.052673
585	440.050354
586	450.052673
587	410.0437
588	430.0481
589	300.0234
590	370.035583
591	260.017578
592	360.0337
593	390.039551
594	420.045868
595	420.045868
596	260.017578
597	350.03186
598	270.018951
599	350.03186
600	300.0234
601	420.045868
602	250.016251
603	390.039551
604	380.037537
605	280.0204
606	380.037537
607	200.0104
608	230.013748
609	310.025
610	340.03006
611	320.026642
612	350.03186
613	310.025
614	310.025
615	300.0234
616	320.026642
617	390.039551
618	350.03186
619	400.0416
620	240.014984
621	380.037537
622	290.021881
623	310.025
624	250.016251
625	270.018951
626	360.0337
627	420.045868
628	260.017578
629	330.02832
630	350.03186
631	250.016251
632	350.03186
633	370.035583
634	350.03186
635	280.0204
636	260.017578
637	350.03186
638	330.02832
639	330.02832
640	320.026642
641	290.021881
642	210.011459
643	270.018951
644	320.026642
645	250.016251
646	210.011459
647	320.026642
648	210.011459
649	290.021881
650	230.013748
651	280.0204
652	240.014984
653	370.035583
654	320.026642
655	480.0599
656	280.0204
657	420.045868
658	300.0234
659	240.014984
660	220.012589
661	330.02832
662	340.03006
663	320.026642
664	200.0104
665	260.017578
666	320.026642
667	310.025
668	360.0337
669	200.0104
670	250.016251
671	230.013748
672	310.025
673	280.0204
674	260.017578
675	210.011459
676	250.016251
677	260.017578
678	280.0204
679	240.014984
680	310.025
681	260.017578
682	270.018951
683	310.025
684	260.017578
685	340.03006
686	210.011459
687	300.0234
688	330.02832
689	220.012589
690	310.025
691	320.026642
692	450.052673
693	300.0234
694	420.045868
695	180.008423
696	250.016251
697	350.03186
698	300.0234
699	340.03006
700	390.039551
</Trace>
