<Trace>
301
CsPbBr3-anion-2
X	Y
400	600.0936
401	510.067627
402	440.050354
403	500.065
404	680.120239
405	510.067627
406	530.073059
407	580.087463
408	770.1542
409	620.1
410	590.0905
411	660.1133
412	750.1463
413	540.0758
414	650.109863
415	710.1311
416	690.12384
417	670.11676
418	770.1542
419	960.2397
420	850.1879
421	840.183533
422	830.179138
423	1140.338
424	1350.47412
425	1180.36218
426	1520.60107
427	1470.56213
428	1680.73425
429	1710.76074
430	1670.72559
431	1810.85229
432	2171.22534
433	2501.62646
434	2932.23438
435	2681.86914
436	3322.86914
437	3703.564
438	4665.65527
439	4715.77734
440	6079.6
441	7504.624
442	8257.704
443	10739.9346
444	13185.0967
445	16631.7129
446	21995.3086
447	27881.14
448	35037.25
449	46692.2852
450	57851.5078
451	76897.13
452	98342.19
453	127857.727
454	166417.344
455	203096.781
456	245811.547
457	288857.438
458	343846.938
459	386332.6
460	415203.469
461	432906.719
462	430591.031
463	415637.875
464	400652.281
465	377319.5
466	353076.563
467	329313.438
468	316904.25
469	300677.125
470	292498.2
471	281897.625
472	268823.438
473	258466.6
474	250476.25
475	241554.953
476	230554.234
477	219649.7
478	207725.719
479	196905.2
480	189541.266
481	180655.922
482	174415.625
483	166646.328
484	161723.484
485	157182.125
486	152748.9
487	144225.563
488	141532.734
489	134731.344
490	132030.359
491	129568.477
492	127697.422
493	124824.875
494	125273.094
495	121924.656
496	119901.359
497	118273.617
498	116987.3
499	114151.922
500	113769.938
501	114226.2
502	109710.805
503	106336.492
504	107087
505	102293
506	98236.9453
507	97542.48
508	91932.83
509	88526.7
510	82035.12
511	78511.05
512	73070.81
513	68650.9141
514	61854.1641
515	57171.47
516	53301.9063
517	47942.6758
518	44408.832
519	40891.6875
520	36381.99
521	32645.53
522	30703.8086
523	28642.2441
524	24829.6055
525	21954.8477
526	20155.252
527	18710.7285
528	16893.9883
529	15653.5361
530	14151.9443
531	12581.0645
532	11554.6436
533	10719.8223
534	9895.415
535	9252.222
536	8438.487
537	7594.978
538	7032.844
539	6812.051
540	6059.53662
541	5547.995
542	5347.42773
543	4415.06445
544	4114.39844
545	4304.81445
546	4174.528
547	4014.18677
548	3372.9563
549	3332.88647
550	3272.7832
551	2832.08447
552	2932.23438
553	2761.98242
554	2591.74561
555	2391.48633
556	1850.89038
557	1981.02
558	2281.35254
559	1740.7876
560	1770.81506
561	1660.71692
562	1470.56213
563	1720.76965
564	1370.48828
565	1580.64941
566	1320.45325
567	1460.55444
568	1510.59314
569	1380.49536
570	1260.413
571	1310.44641
572	1170.35608
573	1130.33215
574	890.206
575	1100.3147
576	1100.3147
577	1040.28137
578	1000.26007
579	1090.30908
580	970.2447
581	910.2154
582	1010.26532
583	1030.27588
584	870.196838
585	1000.26007
586	910.2154
587	890.206
588	1120.32629
589	910.2154
590	980.2498
591	930.225
592	890.206
593	910.2154
594	880.2014
595	740.1424
596	820.174866
597	860.1924
598	760.1502
599	1010.26532
600	690.12384
601	630.1032
602	870.196838
603	730.1386
604	900.2107
605	710.1311
606	730.1386
607	720.1348
608	800.166443
609	810.170654
610	440.050354
611	710.1311
612	640.1065
613	690.12384
614	670.11676
615	580.087463
616	530.073059
617	590.0905
618	590.0905
619	730.1386
620	900.2107
621	590.0905
622	780.1582
623	760.1502
624	810.170654
625	610.096741
626	710.1311
627	600.0936
628	580.087463
629	660.1133
630	680.120239
631	650.109863
632	560.081543
633	580.087463
634	640.1065
635	650.109863
636	760.1502
637	710.1311
638	740.1424
639	650.109863
640	530.073059
641	630.1032
642	620.1
643	750.1463
644	670.11676
645	780.1582
646	660.1133
647	630.1032
648	730.1386
649	640.1065
650	620.1
651	800.166443
652	670.11676
653	620.1
654	620.1
655	680.120239
656	750.1463
657	680.120239
658	600.0936
659	680.120239
660	920.220154
661	810.170654
662	730.1386
663	770.1542
664	680.120239
665	690.12384
666	540.0758
667	730.1386
668	650.109863
669	810.170654
670	650.109863
671	640.1065
672	820.174866
673	840.183533
674	760.1502
675	490.062439
676	660.1133
677	650.109863
678	760.1502
679	670.11676
680	810.170654
681	830.179138
682	800.166443
683	690.12384
684	780.1582
685	780.1582
686	690.12384
687	620.1
688	600.0936
689	780.1582
690	900.2107
691	760.1502
692	840.183533
693	770.1542
694	680.120239
695	810.170654
696	750.1463
697	710.1311
698	700.127441
699	750.1463
700	730.1386
</Trace>
