<Trace>
301
CsPbBr3-anion-3
X	Y
400	190.009384
401	140.0051
402	240.014984
403	110.003143
404	100.0026
405	110.003143
406	180.008423
407	260.017578
408	290.021881
409	230.013748
410	280.0204
411	190.009384
412	170.0075
413	190.009384
414	160.006653
415	180.008423
416	140.0051
417	180.008423
418	200.0104
419	140.0051
420	190.009384
421	140.0051
422	210.011459
423	140.0051
424	180.008423
425	240.014984
426	260.017578
427	250.016251
428	160.006653
429	160.006653
430	150.005844
431	260.017578
432	120.003746
433	190.009384
434	190.009384
435	190.009384
436	170.0075
437	170.0075
438	120.003746
439	180.008423
440	170.0075
441	230.013748
442	170.0075
443	210.011459
444	200.0104
445	180.008423
446	130.0044
447	160.006653
448	240.014984
449	180.008423
450	140.0051
451	220.012589
452	130.0044
453	150.005844
454	160.006653
455	170.0075
456	140.0051
457	260.017578
458	210.011459
459	250.016251
460	210.011459
461	160.006653
462	120.003746
463	180.008423
464	160.006653
465	210.011459
466	280.0204
467	230.013748
468	210.011459
469	200.0104
470	210.011459
471	190.009384
472	200.0104
473	200.0104
474	170.0075
475	230.013748
476	200.0104
477	270.018951
478	240.014984
479	160.006653
480	250.016251
481	210.011459
482	270.018951
483	120.003746
484	160.006653
485	130.0044
486	200.0104
487	110.003143
488	240.014984
489	260.017578
490	190.009384
491	240.014984
492	260.017578
493	220.012589
494	150.005844
495	320.026642
496	340.03006
497	290.021881
498	300.0234
499	280.0204
500	300.0234
501	340.03006
502	360.0337
503	450.052673
504	490.062439
505	480.0599
506	580.087463
507	590.0905
508	550.0787
509	770.1542
510	850.1879
511	870.196838
512	920.220154
513	1300.43958
514	1210.38086
515	1610.67432
516	1650.70825
517	2151.20264
518	2331.4126
519	2711.91138
520	3062.437
521	3453.09839
522	3883.91943
523	5116.80127
524	5327.372
525	5959.22363
526	6470.87451
527	8036.77
528	9262.27
529	10468.4414
530	11383.626
531	12389.8262
532	14182.166
533	16873.8125
534	18963.19
535	19761.1836
536	22005.4238
537	24090.26
538	27049.3438
539	28368.21
540	30683.4863
541	33927.5273
542	36371.7969
543	36494.0938
544	38309.05
545	40044.04
546	42393.8672
547	44408.832
548	43559.6328
549	43549.4023
550	43641.4648
551	41801.03
552	41678.4
553	39717.332
554	39115.1133
555	37003.74
556	35057.6172
557	33113.46
558	30795.26
559	28997.5273
560	26197.6348
561	24333.3
562	22713.61
563	21418.8379
564	19195.4824
565	17691.125
566	17095.7637
567	15451.9121
568	14020.9893
569	13013.9355
570	12570.998
571	10287.4678
572	10468.4414
573	10026.0908
574	8900.565
575	8368.181
576	7926.3125
577	7273.739
578	6611.35156
579	6240.11328
580	5427.65234
581	5407.5957
582	4775.926
583	4605.51025
584	4084.33423
585	3613.39258
586	3583.33643
587	3533.244
588	3242.73242
589	3062.437
590	2711.91138
591	2952.265
592	2521.65259
593	2121.16943
594	2351.437
595	2231.294
596	2101.14746
597	1750.79675
598	1740.7876
599	1620.68274
600	1720.76965
601	1370.48828
602	1290.43286
603	1150.344
604	1430.532
605	1240.3999
606	1190.36829
607	1120.32629
608	1190.36829
609	990.254944
610	910.2154
611	1120.32629
612	960.2397
613	810.170654
614	890.206
615	720.1348
616	560.081543
617	580.087463
618	780.1582
619	630.1032
620	620.1
621	590.0905
622	640.1065
623	540.0758
624	490.062439
625	520.0703
626	530.073059
627	310.025
628	450.052673
629	420.045868
630	480.0599
631	370.035583
632	340.03006
633	390.039551
634	430.0481
635	400.0416
636	370.035583
637	400.0416
638	260.017578
639	360.0337
640	270.018951
641	270.018951
642	290.021881
643	270.018951
644	300.0234
645	290.021881
646	410.0437
647	270.018951
648	300.0234
649	210.011459
650	290.021881
651	320.026642
652	270.018951
653	250.016251
654	320.026642
655	200.0104
656	380.037537
657	160.006653
658	150.005844
659	260.017578
660	170.0075
661	220.012589
662	240.014984
663	230.013748
664	220.012589
665	210.011459
666	200.0104
667	210.011459
668	200.0104
669	270.018951
670	170.0075
671	140.0051
672	190.009384
673	170.0075
674	190.009384
675	250.016251
676	230.013748
677	170.0075
678	240.014984
679	210.011459
680	250.016251
681	210.011459
682	210.011459
683	210.011459
684	130.0044
685	220.012589
686	190.009384
687	170.0075
688	190.009384
689	170.0075
690	210.011459
691	100.0026
692	150.005844
693	190.009384
694	210.011459
695	150.005844
696	280.0204
697	150.005844
698	190.009384
699	180.008423
700	230.013748
</Trace>
