<Trace>
391
CsPbBr3-anion-5
X	Y
410	340.03006
411	270.018951
412	360.0337
413	260.017578
414	310.025
415	280.0204
416	220.012589
417	300.0234
418	330.02832
419	200.0104
420	260.017578
421	170.0075
422	200.0104
423	210.011459
424	200.0104
425	250.016251
426	330.02832
427	160.006653
428	330.02832
429	330.02832
430	140.0051
431	180.008423
432	140.0051
433	160.006653
434	200.0104
435	270.018951
436	210.011459
437	170.0075
438	140.0051
439	240.014984
440	320.026642
441	210.011459
442	340.03006
443	260.017578
444	200.0104
445	270.018951
446	170.0075
447	220.012589
448	130.0044
449	220.012589
450	280.0204
451	240.014984
452	320.026642
453	280.0204
454	270.018951
455	220.012589
456	300.0234
457	200.0104
458	210.011459
459	210.011459
460	160.006653
461	190.009384
462	230.013748
463	210.011459
464	200.0104
465	250.016251
466	220.012589
467	180.008423
468	230.013748
469	200.0104
470	180.008423
471	210.011459
472	180.008423
473	220.012589
474	190.009384
475	260.017578
476	220.012589
477	190.009384
478	150.005844
479	220.012589
480	210.011459
481	180.008423
482	260.017578
483	140.0051
484	220.012589
485	210.011459
486	230.013748
487	240.014984
488	210.011459
489	200.0104
490	270.018951
491	140.0051
492	270.018951
493	170.0075
494	310.025
495	250.016251
496	210.011459
497	190.009384
498	210.011459
499	170.0075
500	290.021881
501	250.016251
502	220.012589
503	260.017578
504	260.017578
505	190.009384
506	260.017578
507	220.012589
508	240.014984
509	300.0234
510	210.011459
511	260.017578
512	210.011459
513	260.017578
514	240.014984
515	210.011459
516	240.014984
517	210.011459
518	270.018951
519	290.021881
520	290.021881
521	220.012589
522	160.006653
523	250.016251
524	280.0204
525	200.0104
526	220.012589
527	290.021881
528	230.013748
529	230.013748
530	250.016251
531	160.006653
532	240.014984
533	230.013748
534	130.0044
535	260.017578
536	160.006653
537	160.006653
538	350.03186
539	300.0234
540	180.008423
541	210.011459
542	230.013748
543	260.017578
544	310.025
545	250.016251
546	210.011459
547	290.021881
548	210.011459
549	280.0204
550	200.0104
551	350.03186
552	230.013748
553	300.0234
554	220.012589
555	210.011459
556	270.018951
557	250.016251
558	290.021881
559	220.012589
560	360.0337
561	240.014984
562	360.0337
563	310.025
564	310.025
565	230.013748
566	280.0204
567	180.008423
568	270.018951
569	310.025
570	190.009384
571	210.011459
572	360.0337
573	220.012589
574	450.052673
575	340.03006
576	290.021881
577	330.02832
578	170.0075
579	270.018951
580	450.052673
581	450.052673
582	270.018951
583	510.067627
584	250.016251
585	320.026642
586	350.03186
587	360.0337
588	370.035583
589	370.035583
